お品物,国内手縫い,海外手縫い
留袖・色留袖(比翼付き),"¥62,700","¥34,100"
留袖（訪問着仕立）,"¥55,000","¥27,500"
振袖,"¥56,100","¥30,800"
訪問着,"¥46,200","¥27,500"
付下げ,"¥41,800","¥25,300"
色無地,"¥36,300","¥24,200"
小紋,"¥36,300","¥24,200"
紬・大島,"¥41,800","¥24,200"
長襦袢,"¥22,000","¥15,400"
長襦袢(振),"¥23,100","¥16,500"
羽織(ロング丈も対応),"¥38,500","¥25,300"
道行コート(ロング丈も対応),"¥38,500","¥25,300"
道中着(ロング丈も対応),"¥38,500","¥25,300"
女性アンサンブル,"¥66,000","¥46,200"
男性アンサンブル,"¥71,500","¥49,500"
男襦袢,"¥23,100","¥15,400"
浴衣,"¥25,000","¥18,200"
男袴（馬乗・行燈）,"¥46,200",
前処理,価格
湯のし（三丈もの）,1100
湯のし（四丈もの）,1320
付属品,価格
八掛（精華）,9900
八掛（駒）,9900
胴裏（正絹）,9900
振袖胴裏,14300
片裏,12100
背伏（正絹）,770
背伏（ポリ）,660
衣紋抜き,990
居敷当（着物）,2750
居敷当（襦袢）,2420
衿裏（正絹）,2200
絽衿裏（正絹）,2750
衿裏（ポリ）,550
絽衿裏（ポリ）,1100
台衿（衿芯）,660
